,GEOID,FP_nearest,FP_tt,FP_tt_3
792,36081071900,14080cf2-01db-4fbb-a7e4-96477296a4b2,6.13,6.51
793,36081072100,6a016ce6-f091-4d3c-b4de-7e5a9882042d,5.07,6.42
794,36081072300,be2885cd-5fa1-4a2a-8412-e977c8eab26c,9.17,15.51
795,36081072900,be2885cd-5fa1-4a2a-8412-e977c8eab26c,13.06,19.87
796,36081073700,be2885cd-5fa1-4a2a-8412-e977c8eab26c,10.68,13.25
797,36081073900,73cad435-3f8f-48a7-a03f-34b674c1d4e1,7.55,10.14
798,36081074100,73cad435-3f8f-48a7-a03f-34b674c1d4e1,0.24,6.9
799,36081074300,5646a004-a7e8-4494-a6f5-f2ce997a5fc7,6.0,7.23
800,36081074500,5646a004-a7e8-4494-a6f5-f2ce997a5fc7,0.83,8.7
801,36081074700,73cad435-3f8f-48a7-a03f-34b674c1d4e1,6.52,9.18
802,36081075701,6727e075-ca10-4625-aec3-aca3090b8b8c,6.72,14.96
803,36081075702,73cad435-3f8f-48a7-a03f-34b674c1d4e1,9.6,13.58
804,36081077902,5ef73772-99c8-4555-822b-ac2926e2e1a8,4.53,13.14
805,36081077903,5ef73772-99c8-4555-822b-ac2926e2e1a8,7.56,11.17
806,36081077904,63c2c795-d880-4f0a-a1f3-bd0e23dc8f07,2.97,6.02
807,36081077905,f29e578f-c42d-44de-806b-48a443535888,4.42,6.97
808,36081077906,5ef73772-99c8-4555-822b-ac2926e2e1a8,7.95,9.84
809,36081077907,5ef73772-99c8-4555-822b-ac2926e2e1a8,3.03,8.71
810,36081077908,63c2c795-d880-4f0a-a1f3-bd0e23dc8f07,7.25,8.87
811,36081078800,233450f9-70b3-487b-b00d-c46dc783b35c,2.83,5.9
812,36081079000,906c0555-15da-489b-80b8-85a0039324f8,1.3,4.29
813,36081079200,906c0555-15da-489b-80b8-85a0039324f8,4.71,6.21
814,36081079300,5ef73772-99c8-4555-822b-ac2926e2e1a8,18.3,19.6
815,36081079701,f6c0eeb2-c828-4ff2-a210-35334f7df7bb,3.84,6.23
816,36081079702,299d86f9-dcc4-4575-9706-ccf00e62ba69,9.8,11.37
817,36081079900,f6c0eeb2-c828-4ff2-a210-35334f7df7bb,12.72,15.0
818,36081080301,f6c0eeb2-c828-4ff2-a210-35334f7df7bb,17.6,19.61
819,36081080302,e66bd84d-d578-4f51-bb67-3a417533facc,13.49,16.81
820,36081081400,2c7ee446-999e-4b01-a5c0-efa04694eda0,5.37,8.46
821,36081081800,2c7ee446-999e-4b01-a5c0-efa04694eda0,7.98,12.94
822,36081083700,e66bd84d-d578-4f51-bb67-3a417533facc,12.63,13.95
823,36081083800,90947c3a-d99d-43e6-b36e-56bca5db4a8e,18.34,20.04
