GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36061002800,13.91,9.19,13.56,32.39,11.94,8.98,15.2,32.39,18.78,13.21,15.2,32.39,18.88,12.64,17.93,32.39,17.3,12.58,20.01,32.93,14.79,15.66,29.44,69.58,46.08,35.59,42.52,53.43,8.98,24.603214285714284,0.5714285714285714,52448,149844,6483,0.245,0.2033,0.171,151723.0,S_Manhattan,-1879.0,1,1
36061002902,12.81,12.81,13.69,34.17,12.81,12.81,13.69,34.17,13.8,12.97,13.69,34.17,14.05,12.97,13.69,34.17,12.83,12.83,12.83,31.94,31.1,14.8,26.09,69.98,37.4,26.48,28.29,59.37,12.81,23.586071428571433,0.5714285714285714,28615,44353,4197,0.2155,0.3207,0.233,151723.0,S_Manhattan,-107370.0,1,1
36061003001,6.99,6.99,9.7,31.91,6.05,6.05,9.43,31.91,6.19,6.19,8.65,31.91,7.9,7.9,9.7,31.91,7.94,7.94,9.74,28.44,15.28,8.52,20.0,69.59,38.39,28.39,33.03,55.15,6.05,19.34964285714285,0.6071428571428571,78935,35282,3718,0.1649,0.1947,0.149,151723.0,S_Manhattan,-116441.0,1,0
36061003002,8.54,8.32,12.14,32.16,5.53,5.53,10.6,32.16,7.55,7.33,10.6,32.16,9.24,8.93,12.43,32.16,9.14,8.83,12.52,26.87,12.15,9.88,20.97,68.39,38.42,28.43,33.06,53.57,5.53,19.91464285714286,0.6071428571428571,73607,125288,3126,0.1517,0.2418,0.178,151723.0,S_Manhattan,-26435.0,1,1
36061003100,15.09,14.92,14.92,34.52,15.09,14.92,14.92,34.52,15.09,14.92,14.92,34.52,15.09,14.92,14.92,34.52,15.09,14.92,14.92,31.29,34.1,17.85,30.23,71.77,35.06,24.01,26.51,59.93,14.92,24.76714285714286,0.5714285714285714,193667,250001,2684,0.1575,0.0885,,151723.0,S_Manhattan,98278.0,0,0
36061003200,11.38,8.85,13.46,31.34,5.47,3.68,14.02,31.34,11.97,8.86,14.02,31.34,13.66,10.28,16.21,31.34,13.29,9.91,14.87,26.35,10.99,11.09,22.79,67.42,40.41,30.66,35.05,52.6,3.68,21.166071428571435,0.6071428571428571,82984,128625,8000,0.2617,0.152,0.142,151723.0,S_Manhattan,-23098.0,1,0
36061003300,16.44,12.84,12.84,33.27,16.44,12.84,12.84,33.27,16.44,12.84,12.84,33.27,16.44,12.84,12.84,33.27,13.48,9.89,9.89,26.49,29.9,20.82,29.66,71.11,27.72,16.68,23.93,56.18,9.89,22.761071428571423,0.5714285714285714,250001,250001,5647,0.3532,0.0142,0.081,151723.0,S_Manhattan,98278.0,0,0
36061003400,14.4,10.97,14.34,30.13,9.05,6.49,15.84,30.13,15.5,12.07,15.84,30.13,16.84,10.4,16.17,30.13,16.47,12.12,15.12,26.81,10.91,14.12,25.22,65.78,41.51,30.53,36.42,50.42,6.49,22.280714285714282,0.6071428571428571,92569,48331,6981,0.1952,0.3071,0.193,151723.0,S_Manhattan,-103392.0,1,1
36061003601,5.74,5.74,9.87,30.94,5.7,5.7,10.08,30.94,2.98,2.98,10.08,30.94,6.63,6.63,10.08,30.94,3.29,3.29,6.73,23.72,16.69,10.87,19.21,64.92,33.44,23.45,28.08,50.44,2.98,17.503571428571426,0.6428571428571429,44193,68594,2940,0.1373,0.1694,0.158,151723.0,S_Manhattan,-83129.0,1,1
36061003602,7.43,7.43,10.54,30.3,5.27,5.27,12.74,30.3,4.7,4.7,12.74,30.3,7.98,7.77,12.87,30.3,5.05,5.05,8.15,21.5,13.58,14.92,20.58,63.21,33.28,23.28,27.92,48.21,4.7,18.048928571428572,0.6071428571428571,130924,202932,3561,0.1198,0.2312,,151723.0,S_Manhattan,51209.0,0,1
