GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11
36085007001,Staten Island,SI0201,-74.08683166616673,40.58996077908184,POINT (-74.0868318269113 40.5899606783218),POINT (-74.08683166616673 40.58996077908184),35.117,83916,66.037,84949,63.168,85351,52.226,87247,57.111,81199,76.913,83630,74.354,FPC-432,62.238,FPC-482,64.038,FPC-624,81.015,FPC-605,91.532,85251,83.389,85357
36085007002,Staten Island,SI0201,-74.07618747854184,40.58753492055703,POINT (-74.07618765303083 40.58753479707253),POINT (-74.07618747854184 40.58753492055703),39.967,83916,71.606,84949,69.212,85351,58.27,87247,63.155,81199,82.957,83630,80.398,FPC-432,68.282,FPC-482,70.082,FPC-624,87.059,FPC-605,97.576,85251,89.433,85357
36085007400,Staten Island,SI0201,-74.06512232849792,40.59442147035284,POINT (-74.06512231348108 40.594421425634664),POINT (-74.06512232849792 40.59442147035284),33.765,83916,65.16,84949,67.344,85351,56.402,87247,61.287,81199,81.089,83630,78.53,FPC-432,66.414,FPC-482,68.214,FPC-624,85.191,FPC-605,95.708,85251,87.565,85357
36085008100,Staten Island,SI0101,-74.093256217092,40.64280522427155,POINT (-74.09325625132337 40.64280523112657),POINT (-74.09325621709201 40.64280522427155),20.664,83916,71.995,87247,84.717,84949,82.937,85351,76.88,81199,82.007,FPC-482,96.682,83630,94.123,FPC-432,83.807,FPC-624,100.784,FPC-605,111.301,85251,103.158,85357
36085009601,Staten Island,SI0201,-74.08860124920673,40.5969267988084,POINT (-74.0886013989085 40.596926743187765),POINT (-74.08860124920673 40.5969267988084),32.355,83916,68.66,84949,65.791,85351,54.849,87247,59.734,81199,79.536,83630,76.977,FPC-432,64.861,FPC-482,66.661,FPC-624,83.638,FPC-605,94.155,85251,86.012,85357
36085009602,Staten Island,SI0201,-74.09516263335145,40.59078278697614,POINT (-74.09516256725811 40.59078276872702),POINT (-74.09516263335145 40.59078278697614),38.578,83916,71.809,84949,68.94,85351,57.998,87247,62.883,81199,82.685,83630,80.126,FPC-432,68.01,FPC-482,69.81,FPC-624,86.787,FPC-605,97.304,85251,89.161,85357
36085009701,Staten Island,SI0104,-74.11145308135093,40.64115205990127,POINT (-74.11145313372099 40.64115204906698),POINT (-74.11145308135093 40.64115205990127),15.712,83916,71.913,87247,84.131,84949,82.62,85351,76.838,81199,82.981,FPC-482,97.222,83630,94.747,FPC-432,83.765,FPC-624,101.408,FPC-605,111.925,85251,104.132,85357
36085009702,Staten Island,SI0191,-74.1032718795655,40.64259438213903,POINT (-74.10327187316346 40.64259435245213),POINT (-74.1032718795655 40.64259438213903),19.255,83916,73.608,87247,85.826,84949,84.315,85351,78.533,81199,84.676,FPC-482,98.917,83630,96.442,FPC-432,85.46,FPC-624,103.103,FPC-605,113.62,85251,105.827,85357
36085010500,Staten Island,SI0104,-74.11187050922875,40.6337957241806,POINT (-74.11187050322627 40.63379568309521),POINT (-74.11187050922875 40.6337957241806),11.465,83916,64.364,87247,76.582,84949,75.071,85351,69.289,81199,75.432,FPC-482,89.673,83630,87.198,FPC-432,76.216,FPC-624,93.859,FPC-605,104.376,85251,96.583,85357
36085011201,Staten Island,SI0202,-74.08816799705771,40.57889696552881,POINT (-74.08816782649971 40.57889695515801),POINT (-74.08816799705771 40.57889696552881),48.177,83916,77.455,84949,78.218,85351,67.276,87247,72.161,81199,91.963,83630,89.404,FPC-432,77.288,FPC-482,79.088,FPC-624,96.065,FPC-605,106.582,85251,98.439,85357
36085011203,Staten Island,SI0202,-74.09742404612211,40.57375792833509,POINT (-74.09742394890152 40.57375793662113),POINT (-74.09742404612211 40.57375792833509),43.102,83916,73.755,84949,73.581,85351,62.639,87247,67.524,81199,87.326,83630,84.767,FPC-432,72.651,FPC-482,74.451,FPC-624,91.428,FPC-605,101.945,85251,93.802,85357
36085011401,Staten Island,SI0201,-74.09909830815427,40.5857435623661,POINT (-74.09909828099116 40.58574354723933),POINT (-74.09909830815427 40.5857435623661),38.716,83916,73.098,84949,70.229,85351,59.287,87247,64.172,81199,83.974,83630,81.415,FPC-432,69.299,FPC-482,71.099,FPC-624,88.076,FPC-605,98.593,85251,90.45,85357
36085011402,Staten Island,SI0202,-74.10495096597525,40.581194852947775,POINT (-74.10495095085483 40.58119483640918),POINT (-74.10495096597525 40.58119485294777),39.633,83916,74.719,84949,72.325,85351,61.383,87247,66.268,81199,86.07,83630,83.511,FPC-432,71.395,FPC-482,73.195,FPC-624,90.172,FPC-605,100.689,85251,92.546,85357
36085012100,Staten Island,SI0104,-74.10963556275505,40.6258785534825,POINT (-74.10963554025207 40.6258785061891),POINT (-74.10963556275505 40.6258785534825),20.166,83916,64.286,87247,76.504,84949,74.993,85351,69.211,81199,75.354,FPC-482,89.595,83630,87.12,FPC-432,76.138,FPC-624,93.781,FPC-605,104.298,85251,96.505,85357
