,GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL
238,36005034400,79779,156490,2165,0.6992,0.2304,107246.0,Bronx,49244.0,0
239,36005034500,109167,104010,3645,0.6825,0.126,123688.0,N_Manhattan,-19678.0,1
240,36005034800,42537,103337,6196,0.519,0.2726,107246.0,Bronx,-3909.0,1
241,36005035000,64172,157989,2207,0.7776,0.0578,107246.0,Bronx,50743.0,0
242,36005035100,96131,250001,3744,0.7014,0.063,123688.0,N_Manhattan,126313.0,0
243,36005035600,78803,104875,2206,0.8054,0.1351,107246.0,Bronx,-2371.0,1
244,36005035800,80727,120938,8758,0.678,0.0971,107246.0,Bronx,13692.0,0
245,36005035900,26442,22946,2445,0.3189,0.4302,107246.0,Bronx,-84300.0,1
246,36005036000,83438,110000,3337,0.7047,0.0413,107246.0,Bronx,2754.0,0
247,36005036100,20435,23867,5756,0.147,0.5325,107246.0,Bronx,-83379.0,1
248,36005036300,27374,42429,7220,0.2075,0.405,107246.0,Bronx,-64817.0,1
249,36005036400,55208,108077,2641,0.5664,0.0716,107246.0,Bronx,831.0,0
250,36005036501,36535,36746,4234,0.3603,0.2924,107246.0,Bronx,-70500.0,1
251,36005036502,28566,44277,2502,0.3837,0.3913,107246.0,Bronx,-62969.0,1
252,36005036800,42460,65813,2365,0.5772,0.3736,107246.0,Bronx,-41433.0,1
253,36005036901,23854,36973,2151,0.306,0.4816,107246.0,Bronx,-70273.0,1
254,36005036902,15625,24218,2212,0.2288,0.5583,107246.0,Bronx,-83028.0,1
255,36005037000,76065,130469,2479,0.7213,0.1,107246.0,Bronx,23223.0,0
256,36005037100,24683,41449,4176,0.2846,0.2297,107246.0,Bronx,-65797.0,1
257,36005037200,51705,115625,2142,0.518,0.1467,107246.0,Bronx,8379.0,0
258,36005037300,47650,73857,6697,0.3475,0.3612,107246.0,Bronx,-33389.0,1
259,36005037400,35232,54609,3968,0.2706,0.3372,107246.0,Bronx,-52637.0,1
260,36005037504,25417,39396,3641,0.2767,0.3724,107246.0,Bronx,-67850.0,1
261,36005037600,55000,105139,2071,0.5922,0.2341,107246.0,Bronx,-2107.0,1
262,36005037800,46136,44688,3147,0.4743,0.2404,107246.0,Bronx,-62558.0,1
263,36005037900,32269,50016,6137,0.2326,0.3832,107246.0,Bronx,-57230.0,1
264,36005038000,39856,73500,5035,0.3638,0.3655,107246.0,Bronx,-33746.0,1
265,36005038100,38937,61132,7707,0.3222,0.3262,107246.0,Bronx,-46114.0,1
266,36005038200,54844,85008,3001,0.5857,0.217,107246.0,Bronx,-22238.0,1
267,36005038301,48964,66000,5384,0.3094,0.1922,107246.0,Bronx,-41246.0,1
268,36005038303,20436,52216,3775,0.1375,0.3401,107246.0,Bronx,-55030.0,1
269,36005038304,16208,25122,2218,0.1248,0.5307,107246.0,Bronx,-82124.0,1
270,36005038500,21875,42700,5025,0.2234,0.5512,107246.0,Bronx,-64546.0,1
271,36005038600,58382,32500,9240,0.5014,0.0894,107246.0,Bronx,-74746.0,1
272,36005038700,39080,37125,3582,0.2138,0.3594,107246.0,Bronx,-70121.0,1
273,36005038800,64094,93261,2881,0.6315,0.2333,107246.0,Bronx,-13985.0,1
274,36005038900,37260,39779,5333,0.3158,0.4034,107246.0,Bronx,-67467.0,1
